,NH3,NH3_final,H,H_final,label,Time,TimeProcess,People,Positive,Negative
1203,44,44,32,32%,0,8:15 AM,495,1,0,0
1204,45,45,22,22%,0,8:20 AM,500,2,1,1
1205,50,50,23,23%,0,8:25 AM,505,0,0,0
1206,48,48,24,24%,0,8:30 AM,510,2,2,0
1207,51,51,25,25%,0,8:35 AM,515,5,2,2
1208,53,53,27,27%,0,8:40 AM,520,3,1,0
1209,54,54,28,28%,0,8:45 AM,525,4,3,4
1210,59,59,23,23%,0,8:50 AM,530,5,3,2
1211,60,60,24,24%,1,8:55 AM,535,5,2,1
1212,59,59,24,24%,0,9:00 AM,540,6,3,5
1213,55,55,23,23%,0,9:05 AM,545,5,2,2
1214,59,59,22,22%,0,9:10 AM,550,2,2,1
1215,55,55,24,24%,0,9:15 AM,555,7,6,3
1216,57,57,22,22%,0,9:20 AM,560,9,8,9
1217,59,59,24,24%,0,9:25 AM,565,9,9,9
1218,57,57,26,26%,0,9:30 AM,570,10,9,6
1219,47,47,24,24%,0,9:35 AM,575,4,4,1
1220,44,44,23,23%,0,9:40 AM,580,5,4,2
1221,45,45,22,22%,0,9:45 AM,585,8,5,5
1222,45,45,27,27%,0,9:50 AM,590,3,2,0
1223,46,46,24,24%,1,9:55 AM,595,3,0,3
1224,45,45,26,26%,0,10:00 AM,600,4,2,1
1225,42,42,26,26%,0,10:05 AM,605,1,1,1
1226,45,45,29,29%,0,10:10 AM,610,0,0,0
1227,44,44,22,22%,0,10:15 AM,615,2,1,2
1228,41,41,24,24%,0,10:20 AM,620,2,2,2
1229,47,47,22,22%,0,10:25 AM,625,8,7,5
1230,47,47,26,26%,0,10:30 AM,630,3,2,1
1231,47,47,22,22%,0,10:35 AM,635,2,0,0
1232,44,44,27,27%,0,10:40 AM,640,4,2,1
1233,50,50,27,27%,0,10:45 AM,645,6,3,2
1234,44,44,20,20%,0,10:50 AM,650,7,4,6
1235,44,44,25,25%,0,10:55 AM,655,2,2,2
1236,39,39,22,22%,0,11:00 AM,660,2,0,2
1237,44,44,24,24%,0,11:05 AM,665,3,1,1
1238,40,40,23,23%,0,11:10 AM,670,2,1,0
1239,45,45,27,27%,0,11:15 AM,675,4,1,2
1240,46,46,27,27%,0,11:20 AM,680,3,2,1
1241,44,44,24,24%,0,11:25 AM,685,1,1,0
1242,41,41,27,27%,0,11:30 AM,690,2,2,1
1243,40,40,29,29%,0,11:35 AM,695,4,2,2
1244,39,39,22,22%,0,11:40 AM,700,4,4,0
1245,42,42,24,24%,0,11:45 AM,705,2,2,2
1246,44,44,29,29%,0,11:50 AM,710,5,3,3
1247,43,43,23,23%,0,11:55 AM,715,3,1,2
1248,45,45,27,27%,0,12:00 PM,720,1,1,1
1249,44,44,25,25%,0,12:05 PM,725,0,0,0
1250,53,53,26,26%,0,12:10 PM,730,9,7,7
1251,61,61,23,23%,0,12:15 PM,735,8,7,6
1252,59,59,28,28%,0,12:20 PM,740,6,5,2
1253,55,55,23,23%,0,12:25 PM,745,6,5,2
1254,58,58,28,28%,0,12:30 PM,750,2,0,2
1255,60,60,29,29%,0,12:35 PM,755,6,4,3
1256,62,62,29,29%,0,12:40 PM,760,10,7,9
1257,64,64,40,40%,0,12:45 PM,765,7,4,4
1258,62,62,34,34%,0,12:50 PM,770,8,8,8
1259,64,64,33,33%,1,12:55 PM,775,7,4,5
1260,65,65,37,37%,0,1:00 PM,780,6,4,4
1261,62,62,40,40%,0,1:05 PM,785,6,5,5
1262,65,65,37,37%,0,1:10 PM,790,6,6,6
1263,69,69,33,33%,0,1:15 PM,795,7,7,6
1264,67,67,32,32%,0,1:20 PM,800,6,5,6
1265,60,60,32,32%,0,1:25 PM,805,10,9,10
1266,47,47,36,36%,0,1:30 PM,810,4,1,3
1267,48,48,39,39%,0,1:35 PM,815,2,2,2
1268,54,54,32,32%,0,1:40 PM,820,9,9,8
1269,56,56,38,38%,0,1:45 PM,825,14,12,10
1270,48,48,35,35%,0,1:50 PM,830,4,1,0
1271,40,40,30,30%,2,1:55 PM,835,4,2,3
1272,44,44,29,29%,0,2:00 PM,840,4,3,4
1273,39,39,26,26%,0,2:05 PM,845,1,1,0
1274,44,44,31,31%,0,2:10 PM,850,2,0,0
1275,40,40,25,25%,0,2:15 PM,855,3,0,0
1276,42,42,22,22%,0,2:20 PM,860,1,1,1
1277,43,43,27,27%,0,2:25 PM,865,3,3,3
1278,38,38,23,23%,0,2:30 PM,870,3,3,0
1279,41,41,24,24%,0,2:35 PM,875,4,1,1
1280,46,46,26,26%,0,2:40 PM,880,3,3,0
1281,39,39,23,23%,0,2:45 PM,885,1,0,0
1282,40,40,23,23%,0,2:50 PM,890,2,2,0
1283,42,42,22,22%,0,2:55 PM,895,4,1,0
1284,46,46,24,24%,0,3:00 PM,900,2,2,0
1285,43,43,23,23%,0,3:05 PM,905,6,3,6
1286,47,47,26,26%,0,3:10 PM,910,1,0,0
1287,41,41,23,23%,0,3:15 PM,915,6,5,2
1288,47,47,23,23%,0,3:20 PM,920,1,1,0
1289,39,39,24,24%,0,3:25 PM,925,4,1,0
1290,44,44,22,22%,0,3:30 PM,930,4,1,4
1291,44,44,28,28%,0,3:35 PM,935,1,1,1
1292,40,40,33,33%,0,3:40 PM,940,5,3,3
1293,49,49,45,45%,0,3:45 PM,945,4,4,3
1294,45,45,42,42%,0,3:50 PM,950,5,4,1
1295,49,49,47,47%,0,3:55 PM,955,6,5,2
1296,51,51,45,45%,0,4:00 PM,960,6,4,4
1297,43,43,41,41%,0,4:05 PM,965,2,0,1
1298,49,49,44,44%,0,4:10 PM,970,3,1,0
1299,44,44,40,40%,0,4:15 PM,975,6,4,3
1300,46,46,41,41%,0,4:20 PM,980,6,6,6
1301,45,45,40,40%,0,4:25 PM,985,3,1,0
1302,44,44,40,40%,0,4:30 PM,990,1,1,1
1303,43,43,42,42%,0,4:35 PM,995,1,0,1
1304,48,48,40,40%,0,4:40 PM,1000,3,2,0
1305,48,48,42,42%,0,4:45 PM,1005,4,1,2
1306,45,45,43,43%,0,4:50 PM,1010,3,1,3
1307,45,45,43,43%,0,4:55 PM,1015,3,2,0
1308,44,44,43,43%,0,5:00 PM,1020,5,2,5
1309,47,47,39,39%,0,5:05 PM,1025,1,1,0
1310,43,43,38,38%,0,5:10 PM,1030,1,0,1
1311,48,48,29,29%,0,5:15 PM,1035,3,3,2
1312,45,45,23,23%,0,5:20 PM,1040,1,0,0
1313,44,44,24,24%,0,5:25 PM,1045,1,0,1
1314,46,46,28,28%,0,5:30 PM,1050,5,4,4
1315,45,45,25,25%,0,5:35 PM,1055,3,2,0
1316,49,49,28,28%,0,5:40 PM,1060,1,0,1
1317,49,49,26,26%,0,5:45 PM,1065,3,1,2
1318,49,49,27,27%,0,5:50 PM,1070,3,3,0
1319,45,45,23,23%,0,5:55 PM,1075,2,1,1
1320,52,52,22,22%,0,7:00 AM,420,6,5,6
1321,52,52,24,24%,0,7:05 AM,425,9,6,7
1322,50,50,24,24%,0,7:10 AM,430,8,5,6
1323,51,51,25,25%,0,7:15 AM,435,4,4,0
1324,54,54,20,20%,0,7:20 AM,440,3,1,2
1325,52,52,23,23%,0,7:25 AM,445,5,3,2
1326,50,50,23,23%,0,7:30 AM,450,5,2,1
1327,47,47,23,23%,0,7:35 AM,455,6,6,6
1328,45,45,23,23%,0,7:40 AM,460,5,3,3
1329,46,46,24,24%,0,7:45 AM,465,5,2,2
1330,49,49,24,24%,0,7:50 AM,470,7,4,3
1331,40,40,23,23%,1,7:55 AM,475,5,4,3
1332,46,46,24,24%,0,8:00 AM,480,5,4,5
1333,44,44,25,25%,0,8:05 AM,485,8,5,7
1334,41,41,26,26%,0,8:10 AM,490,7,6,3
1335,41,41,24,24%,0,8:15 AM,495,6,4,6
1336,42,42,27,27%,0,8:20 AM,500,4,2,3
1337,44,44,27,27%,0,8:25 AM,505,7,4,6
1338,41,41,25,25%,0,8:30 AM,510,4,3,3
1339,40,40,22,22%,0,8:35 AM,515,2,0,1
1340,43,43,25,25%,0,8:40 AM,520,3,3,0
1341,42,42,22,22%,0,8:45 AM,525,5,4,1
1342,47,47,23,23%,0,8:50 AM,530,5,5,5
1343,48,48,23,23%,0,8:55 AM,535,3,2,0
1344,45,45,22,22%,0,9:00 AM,540,3,2,2
1345,43,43,31,31%,0,9:05 AM,545,1,0,1
1346,44,44,32,32%,0,9:10 AM,550,0,0,0
1347,48,48,47,47%,0,9:15 AM,555,2,0,0
1348,50,50,41,41%,0,9:20 AM,560,1,0,0
1349,47,47,42,42%,0,9:25 AM,565,3,3,1
1350,47,47,46,46%,0,9:30 AM,570,1,0,1
1351,46,46,44,44%,0,9:35 AM,575,1,0,0
1352,45,45,46,46%,0,9:40 AM,580,2,0,1
1353,42,42,42,42%,0,9:45 AM,585,5,4,5
1354,43,43,39,39%,0,9:50 AM,590,2,0,0
1355,43,43,40,40%,0,9:55 AM,595,1,0,1
1356,49,49,40,40%,0,10:00 AM,600,2,2,0
1357,49,49,42,42%,0,10:05 AM,605,3,3,3
1358,42,42,42,42%,0,10:10 AM,610,4,4,0
1359,47,47,41,41%,0,10:15 AM,615,4,2,2
1360,47,47,39,39%,0,10:20 AM,620,1,0,1
1361,41,41,41,41%,0,10:25 AM,625,3,1,0
1362,44,44,41,41%,0,10:30 AM,630,1,1,0
1363,45,45,40,40%,0,10:35 AM,635,1,0,1
1364,50,50,42,42%,0,10:40 AM,640,2,1,1
1365,49,49,27,27%,0,10:45 AM,645,1,0,1
1366,51,51,24,24%,0,10:50 AM,650,6,5,2
1367,46,46,25,25%,0,10:55 AM,655,2,0,0
1368,44,44,24,24%,0,11:00 AM,660,0,0,0
1369,46,46,29,29%,0,11:05 AM,665,1,1,0
1370,48,48,28,28%,0,11:10 AM,670,4,2,0
1371,53,53,24,24%,0,11:15 AM,675,5,5,4
1372,52,52,23,23%,0,11:20 AM,680,4,4,4
1373,53,53,21,21%,0,11:25 AM,685,4,1,1
1374,60,60,26,26%,0,11:30 AM,690,5,3,4
1375,59,59,20,20%,0,11:35 AM,695,4,2,2
1376,55,55,23,23%,0,11:40 AM,700,6,4,4
1377,58,58,25,25%,0,11:45 AM,705,8,8,7
1378,57,57,25,25%,0,11:50 AM,710,7,4,7
1379,53,53,22,22%,1,11:55 AM,715,6,4,4
1380,58,58,25,25%,0,12:00 PM,720,3,3,0
1381,59,59,25,25%,0,12:05 PM,725,5,2,5
1382,58,58,28,28%,0,12:10 PM,730,3,1,3
1383,45,45,24,24%,0,12:15 PM,735,4,2,0
1384,45,45,24,24%,0,12:20 PM,740,1,1,0
1385,43,43,24,24%,0,12:25 PM,745,1,0,0
1386,48,48,24,24%,0,12:30 PM,750,2,1,0
1387,46,46,27,27%,0,12:35 PM,755,1,0,0
1388,43,43,24,24%,0,12:40 PM,760,5,2,2
1389,45,45,25,25%,0,12:45 PM,765,6,5,4
1390,40,40,27,27%,0,12:50 PM,770,5,3,1
1391,49,49,26,26%,0,12:55 PM,775,2,0,1
1392,39,39,23,23%,0,1:00 PM,780,1,0,0
1393,47,47,24,24%,0,1:05 PM,785,1,1,0
1394,45,45,23,23%,0,1:10 PM,790,4,3,3
1395,49,49,25,25%,0,1:15 PM,795,1,1,0
1396,40,40,22,22%,0,1:20 PM,800,2,2,1
1397,48,48,20,20%,0,1:25 PM,805,1,1,1
1398,44,44,22,22%,0,1:30 PM,810,4,4,1
1399,47,47,23,23%,0,1:35 PM,815,1,0,0
1400,43,43,22,22%,0,1:40 PM,820,2,0,2
1401,44,44,24,24%,0,1:45 PM,825,0,0,0
1402,40,40,23,23%,0,1:50 PM,830,3,2,1
1403,42,42,23,23%,0,1:55 PM,835,1,0,1
1404,42,42,25,25%,0,2:00 PM,840,0,0,0
1405,39,39,23,23%,0,2:05 PM,845,1,1,1
1406,40,40,23,23%,0,2:10 PM,850,3,1,0
1407,42,42,29,29%,0,2:15 PM,855,2,0,2
1408,42,42,23,23%,0,2:20 PM,860,2,1,2
1409,45,45,31,31%,0,2:25 PM,865,1,0,1
1410,44,44,23,23%,0,2:30 PM,870,3,2,1
1411,45,45,21,21%,0,2:35 PM,875,1,0,1
1412,47,47,25,25%,0,2:40 PM,880,1,0,0
1413,46,46,27,27%,0,2:45 PM,885,2,0,0
1414,42,42,26,26%,0,2:50 PM,890,2,1,0
1415,40,40,26,26%,0,2:55 PM,895,2,1,0
1416,46,46,28,28%,0,3:00 PM,900,3,1,2
1417,46,46,30,30%,0,3:05 PM,905,2,2,2
1418,48,48,25,25%,0,3:10 PM,910,4,2,4
1419,46,46,28,28%,0,3:15 PM,915,1,1,0
1420,47,47,25,25%,0,3:20 PM,920,5,3,2
1421,46,46,29,29%,0,3:25 PM,925,8,5,6
1422,44,44,27,27%,0,3:30 PM,930,4,2,0
1423,46,46,28,28%,0,3:35 PM,935,7,5,4
1424,45,45,25,25%,0,3:40 PM,940,7,5,4
1425,44,44,25,25%,0,3:45 PM,945,6,6,3
1426,47,47,27,27%,0,3:50 PM,950,5,2,1
1427,41,41,28,28%,0,3:55 PM,955,8,5,8
1428,48,48,23,23%,0,4:00 PM,960,1,1,0
1429,42,42,25,25%,0,4:05 PM,965,3,1,1
1430,44,44,24,24%,0,4:10 PM,970,2,2,2
1431,44,44,24,24%,0,4:15 PM,975,4,1,2
1432,44,44,22,22%,0,4:20 PM,980,1,1,1
1433,43,43,27,27%,0,4:25 PM,985,3,1,3
1434,41,41,25,25%,0,4:30 PM,990,1,1,1
1435,41,41,24,24%,0,4:35 PM,995,2,2,1
1436,43,43,23,23%,0,4:40 PM,1000,3,1,2
1437,44,44,27,27%,0,4:45 PM,1005,4,4,0
1438,42,42,22,22%,0,4:50 PM,1010,1,1,0
1439,46,46,25,25%,0,4:55 PM,1015,5,4,1
1440,41,41,22,22%,0,5:00 PM,1020,3,2,2
1441,42,42,26,26%,0,5:05 PM,1025,8,6,8
1442,44,44,28,28%,0,5:10 PM,1030,2,1,1
1443,41,41,27,27%,0,5:15 PM,1035,4,4,2
1444,44,44,27,27%,0,5:20 PM,1040,2,2,1
1445,47,47,22,22%,0,5:25 PM,1045,3,1,1
1446,44,44,23,23%,0,5:30 PM,1050,0,0,0
1447,42,42,21,21%,0,5:35 PM,1055,1,0,0
1448,46,46,22,22%,0,5:40 PM,1060,1,0,0
1449,48,48,25,25%,0,5:45 PM,1065,5,5,1
1450,47,47,28,28%,0,5:50 PM,1070,5,3,3
1451,49,49,27,27%,0,5:55 PM,1075,3,3,2
1452,47,47,27,27%,0,7:00 AM,420,1,1,0
1453,52,52,26,26%,0,7:05 AM,425,8,8,6
1454,59,59,26,26%,0,7:10 AM,430,4,1,1
1455,60,60,27,27%,0,7:15 AM,435,6,5,2
1456,57,57,26,26%,0,7:20 AM,440,4,3,4
1457,59,59,23,23%,0,7:25 AM,445,4,1,1
1458,55,55,27,27%,0,7:30 AM,450,6,3,4
1459,61,61,25,25%,0,7:35 AM,455,1,0,1
1460,56,56,28,28%,0,7:40 AM,460,6,3,2
1461,57,57,24,24%,0,7:45 AM,465,7,4,3
1462,61,61,30,30%,0,7:50 AM,470,5,3,1
1463,60,60,31,31%,1,7:55 AM,475,3,0,1
1464,54,54,37,37%,0,8:00 AM,480,5,3,4
1465,55,55,34,34%,0,8:05 AM,485,7,4,6
1466,50,50,40,40%,0,8:10 AM,490,0,0,0
1467,51,51,41,41%,0,8:15 AM,495,8,8,6
1468,45,45,40,40%,0,8:20 AM,500,3,0,0
1469,44,44,45,45%,0,8:25 AM,505,2,1,1
1470,47,47,42,42%,0,8:30 AM,510,3,3,0
1471,43,43,39,39%,0,8:35 AM,515,4,2,2
1472,39,39,39,39%,0,8:40 AM,520,5,5,1
1473,40,40,40,40%,0,8:45 AM,525,2,0,2
1474,48,48,38,38%,0,8:50 AM,530,4,2,2
1475,43,43,38,38%,0,8:55 AM,535,3,2,3
1476,43,43,37,37%,0,9:00 AM,540,2,0,1
1477,45,45,37,37%,0,9:05 AM,545,5,2,4
1478,46,46,26,26%,0,9:10 AM,550,8,5,5
1479,43,43,20,20%,0,9:15 AM,555,4,3,0
1480,42,42,26,26%,0,9:20 AM,560,3,0,3
1481,42,42,22,22%,0,9:25 AM,565,3,0,2
1482,46,46,26,26%,0,9:30 AM,570,3,0,0
1483,44,44,27,27%,0,9:35 AM,575,8,5,5
1484,44,44,23,23%,0,9:40 AM,580,3,3,1
1485,41,41,26,26%,0,9:45 AM,585,2,1,0
1486,42,42,23,23%,0,9:50 AM,590,10,9,10
1487,44,44,23,23%,0,9:55 AM,595,3,3,0
1488,40,40,29,29%,0,10:00 AM,600,6,4,3
1489,46,46,30,30%,0,10:05 AM,605,6,3,3
1490,46,46,43,43%,0,10:10 AM,610,5,5,3
1491,45,45,41,41%,0,10:15 AM,615,3,3,1
1492,51,51,43,43%,0,10:20 AM,620,3,1,0
1493,47,47,46,46%,0,10:25 AM,625,3,0,3
1494,49,49,44,44%,0,10:30 AM,630,5,4,3
1495,52,52,47,47%,0,10:35 AM,635,4,4,3
1496,45,45,41,41%,0,10:40 AM,640,5,4,3
1497,51,51,42,42%,0,10:45 AM,645,9,7,8
1498,55,55,41,41%,0,10:50 AM,650,10,9,9
1499,54,54,43,43%,1,10:55 AM,655,5,2,4
1500,56,56,43,43%,0,11:00 AM,660,1,0,1
1501,57,57,45,45%,0,11:05 AM,665,8,6,7
1502,57,57,38,38%,0,11:10 AM,670,5,3,5
1503,62,62,43,43%,0,11:15 AM,675,7,6,3
1504,69,69,39,39%,0,11:20 AM,680,8,8,6
1505,64,64,41,41%,0,11:25 AM,685,7,7,3
1506,73,73,41,41%,0,11:30 AM,690,7,5,5
1507,68,68,37,37%,0,11:35 AM,695,5,3,4
1508,71,71,27,27%,0,11:40 AM,700,5,3,4
1509,63,63,24,24%,0,11:45 AM,705,5,3,4
1510,66,66,27,27%,0,11:50 AM,710,9,7,8
1511,68,68,23,23%,2,11:55 AM,715,7,7,6
1512,72,72,27,27%,0,12:00 PM,720,4,4,4
1513,66,66,29,29%,0,12:05 PM,725,5,4,3
1514,63,63,25,25%,0,12:10 PM,730,5,2,5
1515,65,65,24,24%,0,12:15 PM,735,8,8,7
1516,65,65,23,23%,0,12:20 PM,740,4,2,3
1517,68,68,23,23%,0,12:25 PM,745,4,4,1
1518,68,68,20,20%,0,12:30 PM,750,6,4,3
1519,68,68,23,23%,0,12:35 PM,755,5,3,3
1520,61,61,22,22%,0,12:40 PM,760,5,5,4
1521,69,69,21,21%,0,12:45 PM,765,3,0,2
1522,66,66,23,23%,0,12:50 PM,770,4,3,2
1523,66,66,22,22%,2,12:55 PM,775,5,4,2
1524,71,71,22,22%,0,1:00 PM,780,4,4,3
1525,70,70,27,27%,0,1:05 PM,785,3,1,2
1526,69,69,25,25%,0,1:10 PM,790,10,9,6
1527,63,63,24,24%,0,1:15 PM,795,5,4,4
1528,66,66,25,25%,0,1:20 PM,800,7,6,3
1529,54,54,23,23%,0,1:25 PM,805,6,3,6
1530,45,45,27,27%,0,1:30 PM,810,5,2,5
1531,46,46,24,24%,0,1:35 PM,815,4,4,1
1532,43,43,23,23%,0,1:40 PM,820,5,5,4
1533,40,40,25,25%,0,1:45 PM,825,5,4,1
1534,40,40,27,27%,0,1:50 PM,830,5,2,1
1535,46,46,27,27%,2,1:55 PM,835,6,3,2
1536,47,47,24,24%,0,2:00 PM,840,3,0,1
1537,45,45,25,25%,0,2:05 PM,845,3,1,1
1538,43,43,24,24%,0,2:10 PM,850,0,0,0
1539,39,39,24,24%,0,2:15 PM,855,4,3,4
1540,45,45,22,22%,0,2:20 PM,860,2,0,0
1541,42,42,23,23%,0,2:25 PM,865,2,2,2
1542,42,42,26,26%,0,2:30 PM,870,2,2,2
1543,44,44,25,25%,0,2:35 PM,875,1,0,1
1544,43,43,21,21%,0,2:40 PM,880,2,1,1
1545,40,40,28,28%,0,2:45 PM,885,7,5,4
1546,46,46,27,27%,0,2:50 PM,890,6,3,3
1547,39,39,25,25%,0,2:55 PM,895,4,2,0
1548,40,40,26,26%,0,3:00 PM,900,6,3,5
1549,41,41,28,28%,0,3:05 PM,905,5,5,5
1550,42,42,29,29%,0,3:10 PM,910,3,0,2
1551,45,45,30,30%,0,3:15 PM,915,3,0,3
1552,45,45,26,26%,0,3:20 PM,920,3,3,2
1553,40,40,25,25%,0,3:25 PM,925,3,1,0
1554,46,46,30,30%,0,3:30 PM,930,3,0,1
1555,43,43,27,27%,0,3:35 PM,935,2,0,2
1556,44,44,28,28%,0,3:40 PM,940,6,6,6
1557,45,45,28,28%,0,3:45 PM,945,3,2,3
1558,43,43,30,30%,0,3:50 PM,950,6,4,2
1559,41,41,31,31%,0,3:55 PM,955,4,1,1
1560,43,43,30,30%,0,4:00 PM,960,0,0,0
1561,41,41,31,31%,0,4:05 PM,965,3,2,0
1562,43,43,34,34%,0,4:10 PM,970,1,0,1
1563,45,45,36,36%,0,4:15 PM,975,2,2,0
1564,46,46,36,36%,0,4:20 PM,980,2,1,0
1565,47,47,34,34%,0,4:25 PM,985,4,3,1
1566,57,57,35,35%,0,4:30 PM,990,4,3,3
1567,56,56,37,37%,0,4:35 PM,995,2,2,1
1568,56,56,34,34%,0,4:40 PM,1000,7,5,6
1569,58,58,35,35%,0,4:45 PM,1005,5,3,5
1570,57,57,33,33%,0,4:50 PM,1010,4,2,3
1571,56,56,39,39%,1,4:55 PM,1015,5,3,3
1572,57,57,37,37%,0,5:00 PM,1020,2,1,1
1573,54,54,31,31%,0,5:05 PM,1025,3,3,1
1574,54,54,26,26%,0,5:10 PM,1030,6,3,6
1575,57,57,21,21%,0,5:15 PM,1035,4,1,1
1576,58,58,21,21%,0,5:20 PM,1040,5,4,1
1577,55,55,23,23%,0,5:25 PM,1045,2,2,1
1578,54,54,22,22%,0,5:30 PM,1050,2,2,1
1579,52,52,26,26%,0,5:35 PM,1055,3,0,1
1580,43,43,24,24%,0,5:40 PM,1060,5,2,3
1581,45,45,22,22%,0,5:45 PM,1065,2,1,0
1582,41,41,28,28%,0,5:50 PM,1070,2,2,1
1583,47,47,31,31%,1,5:55 PM,1075,2,0,1
1584,44,44,45,45%,0,7:00 AM,420,1,1,0
1585,47,47,46,46%,0,7:05 AM,425,3,3,0
1586,46,46,44,44%,0,7:10 AM,430,0,0,0
1587,46,46,42,42%,0,7:15 AM,435,1,1,0
1588,45,45,44,44%,0,7:20 AM,440,3,0,2
1589,40,40,43,43%,0,7:25 AM,445,3,1,1
1590,48,48,43,43%,0,7:30 AM,450,1,0,1
1591,39,39,43,43%,0,7:35 AM,455,0,0,0
1592,42,42,41,41%,0,7:40 AM,460,2,2,1
1593,50,50,41,41%,0,7:45 AM,465,0,0,0
1594,43,43,42,42%,0,7:50 AM,470,4,3,1
1595,49,49,43,43%,0,7:55 AM,475,3,1,0
1596,49,49,37,37%,0,8:00 AM,480,2,0,1
1597,47,47,43,43%,0,8:05 AM,485,5,5,3
1598,41,41,42,42%,0,8:10 AM,490,1,1,0
1599,48,48,41,41%,0,8:15 AM,495,1,0,1
1600,45,45,40,40%,0,8:20 AM,500,3,2,0
1601,44,44,39,39%,0,8:25 AM,505,5,4,1
1602,46,46,28,28%,0,8:30 AM,510,3,1,2
1603,41,41,22,22%,0,8:35 AM,515,5,3,4
1604,50,50,26,26%,0,8:40 AM,520,0,0,0
1605,52,52,23,23%,0,8:45 AM,525,9,7,8
1606,56,56,29,29%,0,8:50 AM,530,3,1,0
1607,57,57,26,26%,1,8:55 AM,535,8,7,4
1608,55,55,28,28%,0,9:00 AM,540,7,5,4
1609,51,51,25,25%,0,9:05 AM,545,4,3,2
1610,54,54,25,25%,0,9:10 AM,550,7,6,7
1611,57,57,26,26%,0,9:15 AM,555,3,0,3
1612,55,55,23,23%,0,9:20 AM,560,4,3,4
1613,56,56,23,23%,0,9:25 AM,565,4,4,3
1614,56,56,24,24%,0,9:30 AM,570,6,4,2
1615,48,48,24,24%,0,9:35 AM,575,7,6,6
1616,52,52,26,26%,0,9:40 AM,580,6,6,6
1617,55,55,25,25%,0,9:45 AM,585,7,4,5
1618,53,53,21,21%,0,9:50 AM,590,3,0,0
1619,55,55,27,27%,1,9:55 AM,595,5,3,3
1620,53,53,23,23%,0,10:00 AM,600,9,7,7
1621,54,54,26,26%,0,10:05 AM,605,3,3,1
1622,54,54,27,27%,0,10:10 AM,610,3,3,0
1623,51,51,24,24%,0,10:15 AM,615,7,6,6
1624,53,53,26,26%,0,10:20 AM,620,5,2,5
1625,56,56,27,27%,0,10:25 AM,625,3,0,3
1626,46,46,21,21%,0,10:30 AM,630,2,1,2
1627,43,43,27,27%,0,10:35 AM,635,3,2,2
1628,46,46,27,27%,0,10:40 AM,640,10,9,9
1629,44,44,24,24%,0,10:45 AM,645,4,4,4
1630,42,42,25,25%,0,10:50 AM,650,5,4,1
1631,39,39,27,27%,1,10:55 AM,655,8,6,8
1632,46,46,25,25%,0,11:00 AM,660,2,1,0
1633,44,44,23,23%,0,11:05 AM,665,6,3,5
1634,40,40,24,24%,0,11:10 AM,670,3,1,3
1635,49,49,27,27%,0,11:15 AM,675,6,6,4
1636,41,41,20,20%,0,11:20 AM,680,4,4,1
1637,44,44,25,25%,0,11:25 AM,685,3,0,2
1638,48,48,23,23%,0,11:30 AM,690,3,3,3
1639,41,41,25,25%,0,11:35 AM,695,6,4,2
1640,46,46,21,21%,0,11:40 AM,700,7,5,4
1641,48,48,22,22%,0,11:45 AM,705,6,4,6
1642,43,43,25,25%,0,11:50 AM,710,6,6,3
1643,46,46,24,24%,0,11:55 AM,715,7,4,7
1644,46,46,25,25%,0,12:00 PM,720,2,0,0
1645,45,45,27,27%,0,12:05 PM,725,2,0,1
1646,44,44,27,27%,0,12:10 PM,730,2,1,2
1647,43,43,27,27%,0,12:15 PM,735,7,4,6
1648,43,43,23,23%,0,12:20 PM,740,7,5,3
1649,47,47,25,25%,0,12:25 PM,745,5,3,1
1650,42,42,25,25%,0,12:30 PM,750,4,3,2
1651,46,46,28,28%,0,12:35 PM,755,4,1,2
1652,43,43,25,25%,0,12:40 PM,760,5,2,3
1653,40,40,23,23%,0,12:45 PM,765,4,1,3
1654,46,46,25,25%,0,12:50 PM,770,1,0,1
1655,42,42,25,25%,0,12:55 PM,775,10,8,8
1656,43,43,25,25%,0,1:00 PM,780,1,0,1
1657,39,39,28,28%,0,1:05 PM,785,3,3,0
1658,40,40,24,24%,0,1:10 PM,790,5,3,3
1659,45,45,21,21%,0,1:15 PM,795,3,1,3
1660,41,41,24,24%,0,1:20 PM,800,9,6,6
1661,43,43,27,27%,0,1:25 PM,805,3,1,3
1662,47,47,28,28%,0,1:30 PM,810,4,1,0
1663,49,49,27,27%,0,1:35 PM,815,4,1,2
1664,40,40,32,32%,0,1:40 PM,820,6,5,5
1665,44,44,30,30%,0,1:45 PM,825,2,1,1
1666,45,45,34,34%,0,1:50 PM,830,8,8,6
1667,44,44,37,37%,0,1:55 PM,835,5,2,2
1668,41,41,37,37%,0,2:00 PM,840,4,3,1
1669,51,51,39,39%,0,2:05 PM,845,10,7,8
1670,49,49,41,41%,0,2:10 PM,850,5,4,2
1671,48,48,45,45%,0,2:15 PM,855,1,0,0
1672,46,46,44,44%,0,2:20 PM,860,6,5,3
1673,43,43,44,44%,0,2:25 PM,865,5,5,3
1674,41,41,39,39%,0,2:30 PM,870,2,2,1
1675,48,48,42,42%,0,2:35 PM,875,3,0,0
1676,48,48,40,40%,0,2:40 PM,880,9,6,6
1677,49,49,39,39%,0,2:45 PM,885,6,6,3
1678,42,42,40,40%,0,2:50 PM,890,4,4,0
1679,46,46,37,37%,0,2:55 PM,895,6,4,2
1680,49,49,26,26%,0,3:00 PM,900,1,1,0
1681,53,53,21,21%,0,3:05 PM,905,8,5,4
